household_id,SAMPN,HH_ZONE_ID,HH_WEIGHT,HH_SIZE,HH_VEH,HH_WORKERS
1002,1002,834,,1,2,1
1004,1004,834,,6,1,1
1005,1005,834,,2,1,2
1006,1006,834,,3,2,1
1007,1007,834,,2,0,1
1008,1008,834,,3,0,1
1009,1009,834,,3,2,1
1010,1010,834,,4,1,1
1011,1011,834,,3,3,1
1012,1012,834,,6,1,3
1013,1013,674,,5,9,2
1014,1014,667,,3,3,1
1015,1015,671,,1,1,1
1016,1016,671,,2,2,2
1017,1017,684,,1,2,1
1019,1019,671,,1,2,1
1021,1021,667,,4,2,1
1022,1022,671,,4,1,1
1023,1023,671,,2,2,2
1024,1024,892,,2,2,2
1025,1025,755,,1,2,1
1026,1026,755,,1,1,1
1028,1028,835,,4,2,4
1029,1029,635,,4,4,2
1030,1030,635,,3,2,2
1031,1031,635,,5,3,3
1032,1032,635,,4,3,1
1033,1033,635,,6,3,1
1034,1034,635,,1,2,1
1036,1036,635,,1,2,1
1039,1039,635,,1,2,1
1041,1041,635,,4,2,4
1042,1042,635,,5,4,1
1043,1043,610,,6,3,2
1044,1044,607,,4,3,2
1045,1045,610,,1,1,1
1047,1047,825,,3,2,1
1048,1048,610,,3,3,1
1049,1049,607,,4,2,2
1050,1050,629,,1,2,1
1052,1052,635,,4,4,2
1053,1053,635,,3,2,2
1054,1054,635,,4,3,1
1055,1055,635,,2,2,2
1056,1056,635,,3,2,1
1057,1057,635,,3,2,1
1058,1058,635,,5,3,1
1059,1059,635,,1,1,1
1062,1062,635,,4,7,1
1063,1063,488,,6,1,6
1064,1064,488,,4,1,2
1065,1065,488,,4,1,1
1066,1066,488,,3,0,2
1067,1067,488,,1,2,1
1070,1070,489,,3,0,1
1071,1071,488,,3,1,1
1072,1072,488,,5,1,5
1073,1073,488,,2,0,1
1074,1074,488,,5,1,1
1075,1075,489,,1,2,1
1076,1076,488,,1,0,1
1077,1077,488,,2,0,1
1078,1078,486,,3,1,3
1079,1079,488,,1,2,1
1081,1081,488,,3,1,3
1082,1082,488,,3,1,1
1083,1083,489,,1,0,1
1085,1085,489,,4,1,1
1086,1086,488,,1,1,1
1088,1088,488,,4,1,1
1089,1089,488,,1,1,1
1091,1091,488,,4,1,4
1092,1092,488,,1,1,1
1093,1093,489,,2,1,2
1094,1094,489,,2,0,2
1095,1095,493,,3,1,2
1096,1096,493,,6,1,1
1097,1097,493,,2,4,1
1098,1098,495,,3,2,1
1099,1099,495,,8,2,2
1100,1100,487,,3,3,2
1101,1101,493,,3,2,2
1102,1102,493,,3,2,1
1103,1103,495,,4,1,2
1104,1104,495,,2,3,2
1105,1105,495,,7,0,4
1106,1106,493,,2,5,2
1107,1107,495,,3,1,3
1108,1108,493,,4,2,3
1109,1109,493,,4,1,2
1110,1110,493,,6,2,5
1111,1111,493,,3,2,1
1112,1112,493,,1,1,1
1114,1114,493,,2,1,2
1115,1115,493,,1,2,1
1117,1117,493,,3,1,2
1118,1118,493,,4,2,1
1119,1119,493,,1,1,1
1121,1121,493,,2,1,2
1122,1122,493,,1,0,1
1123,1123,493,,1,1,1
1125,1125,495,,5,2,2
1126,1126,495,,3,1,1
1127,1127,495,,3,2,1
1128,1128,487,,1,1,1
1131,1131,487,,2,1,1
1132,1132,489,,3,1,1
1133,1133,489,,1,1,1
1135,1135,489,,3,0,1
1136,1136,489,,4,1,1
1137,1137,489,,3,0,1
1138,1138,489,,1,0,1
1140,1140,490,,1,0,1
1142,1142,493,,4,1,1
1143,1143,487,,4,2,1
1144,1144,487,,3,1,1
1145,1145,487,,1,1,1
1146,1146,487,,4,1,2
1147,1147,487,,2,1,2
1148,1148,487,,4,1,1
1149,1149,487,,4,1,1
1150,1150,487,,1,1,1
1152,1152,487,,1,2,1
1155,1155,605,,3,2,2
1156,1156,605,,3,4,2
1157,1157,605,,3,1,3
1158,1158,605,,3,2,3
1159,1159,605,,4,3,1
1160,1160,605,,1,2,1
1162,1162,605,,4,2,2
1163,1163,605,,5,2,3
1164,1164,605,,3,2,2
1165,1165,605,,2,1,2
1166,1166,667,,3,1,1
1167,1167,667,,3,2,2
1168,1168,667,,6,2,3
1169,1169,667,,4,4,2
1170,1170,667,,4,2,2
1171,1171,667,,1,2,1
1173,1173,667,,4,2,1
1174,1174,667,,1,2,1
1176,1176,667,,2,2,1
1177,1177,667,,2,2,1
1178,1178,667,,1,2,1
1180,1180,667,,1,2,1
1182,1182,667,,3,2,2
1183,1183,667,,1,2,1
1185,1185,667,,1,1,1
1187,1187,626,,1,6,1
1189,1189,626,,6,2,1
1190,1190,626,,4,5,1
1191,1191,626,,3,2,1
1192,1192,626,,2,2,2
1193,1193,626,,1,2,1
1194,1194,605,,3,3,2
1195,1195,605,,4,2,2
1196,1196,626,,4,2,1
1197,1197,678,,1,4,1
1198,1198,678,,4,1,1
1199,1199,678,,6,2,2
1200,1200,626,,4,3,4
1201,1201,626,,2,5,1
1202,1202,626,,2,2,1
1203,1203,626,,2,2,1
1204,1204,626,,2,1,2
1205,1205,626,,1,2,1
1207,1207,761,,3,1,1
1208,1208,760,,7,5,4
1209,1209,749,,4,4,1
1210,1210,745,,5,2,2
1211,1211,747,,2,2,1
1212,1212,747,,1,1,1
1215,1215,747,,1,2,1
1217,1217,760,,2,2,2
1218,1218,760,,9,4,3
1219,1219,760,,1,5,1
1221,1221,760,,1,4,1
1223,1223,759,,4,7,1
1224,1224,687,,3,2,1
1225,1225,687,,6,1,2
1226,1226,687,,3,3,1
1227,1227,687,,1,2,1
1229,1229,684,,3,2,1
1230,1230,684,,4,3,1
1231,1231,684,,4,2,2
1232,1232,684,,5,2,2
1233,1233,684,,5,2,2
1234,1234,684,,3,3,1
1235,1235,684,,4,2,1
1236,1236,684,,5,4,2
1237,1237,678,,2,3,2
1238,1238,678,,1,2,1
1240,1240,678,,4,6,1
1241,1241,678,,3,3,2
1242,1242,678,,6,3,2
1243,1243,678,,1,5,1
1246,1246,747,,4,3,1
1247,1247,747,,5,2,1
1248,1248,747,,2,2,2
1249,1249,747,,7,2,1
1250,1250,757,,1,4,1
1253,1253,755,,5,4,1
1254,1254,755,,1,2,1
1256,1256,747,,1,2,1
1259,1259,755,,1,0,1
1261,1261,755,,1,4,1
1264,1264,626,,5,2,2
1265,1265,505,,5,1,2
1266,1266,505,,7,3,2
1267,1267,505,,4,2,1
1268,1268,480,,3,0,1
1269,1269,505,,1,1,1
1271,1271,505,,1,0,1
1273,1273,505,,2,5,1
1274,1274,505,,2,2,2
1275,1275,483,,4,0,3
1276,1276,505,,1,4,1
1280,1280,505,,1,1,1
1281,1281,480,,1,0,1
1282,1282,480,,3,0,3
1283,1283,480,,4,0,4
1284,1284,480,,2,0,2
1285,1285,480,,2,1,2
1286,1286,480,,3,1,2
1287,1287,480,,3,1,1
1288,1288,480,,2,1,2
1289,1289,480,,1,2,1
1291,1291,480,,2,0,2
1292,1292,480,,1,1,1
1293,1293,480,,2,0,1
1294,1294,480,,2,0,2
1295,1295,480,,2,2,1
1296,1296,638,,6,0,6
1297,1297,480,,2,0,2
1298,1298,483,,1,0,1
1299,1299,480,,3,0,3
1300,1300,480,,2,0,2
1301,1301,480,,4,0,1
1302,1302,480,,6,2,3
